#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
75	9666220	1	46	280778067	29.047349	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2469949	2172950	2323506	2699815	0		
76	9655328	1	46	282868219	29.296593	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2432723	2678988	2399631	2143986	0		
77	9641309	1	46	277889464	28.822794	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2683034	3145933	1701530	2110812	0		
78	9629777	1	46	277980007	28.866713	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2610076	2820491	2174447	2024763	0		
79	9616373	1	46	281109648	29.232399	26.000000	31.000000	33.000000	7.000000	16	43	1,3,4,5,6,7,8,9,10,11,12,13,14,15,46,45,44	2598264	2255156	2047196	2715757	0		
80	9603998	1	46	278033163	28.949731	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2485506	2440784	2605286	2072422	0		
81	9591148	1	46	275745799	28.750031	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	1965875	2363913	2597192	2664168	0		
82	9577705	1	46	276773268	28.897661	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2230768	2336516	2943996	2066425	0		
83	9563817	1	46	276832604	28.945828	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2885236	2568841	2069380	2040360	0		
84	9548699	1	46	277333935	29.044159	25.000000	31.000000	33.000000	8.000000	13	45	1,3,4,5,6,7,8,9,10,11,12,46	2392140	2470660	2265859	2420040	0		
85	9531639	1	46	272775543	28.617905	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2139791	1983277	2369391	3039180	0		
86	9508022	1	46	272475429	28.657425	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2343411	2402646	2397465	2364500	0		
87	9444730	1	46	267349937	28.306785	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2927514	1894779	2652281	1970156	0		
88	9411057	1	46	267409658	28.414413	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2104949	2334168	2725332	2246608	0		
89	9395965	1	46	267031842	28.419842	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2251503	2390270	2107955	2646237	0		
90	9380473	1	46	267711589	28.539242	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2188706	2505191	2393130	2293446	0		
91	9365615	1	46	262215447	27.997675	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2415773	1977094	2175519	2797229	0		
92	9353119	1	46	267167628	28.564549	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	1901166	2349352	2475539	2627062	0		
93	9341152	1	46	266946032	28.577421	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	1786492	2501804	2273552	2779304	0		
94	9327403	1	46	265704068	28.486393	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2587995	2454366	1857140	2427902	0		
95	9311973	1	46	263384859	28.284539	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2877519	2008747	2184510	2241197	0		
96	9296741	1	46	262834958	28.271731	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2416493	2349334	2395371	2135543	0		
97	9275622	1	46	260985316	28.136692	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2174541	2438661	2196305	2466115	0		
98	9249366	1	46	264938484	28.643962	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2197584	2441501	2493307	2116974	0		
99	9177533	1	46	259652228	28.292160	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2274310	1956634	1986857	2959732	0		
100	9086561	1	46	257033436	28.287207	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	1992306	2066709	2615244	2412302	0		
101	9067371	1	46	258927412	28.555952	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2293931	2308124	1733987	2731329	0		
102	9050906	1	46	258610685	28.572906	24.000000	31.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2272620	2153727	2143511	2481048	0		
103	9039126	1	46	256106712	28.333128	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2152768	2159885	2199536	2526937	0		
104	9027340	1	46	256616093	28.426546	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2001256	2454145	2135468	2436471	0		
105	9015604	1	46	254960005	28.279858	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2801835	1925326	2154651	2133792	0		
106	9002184	1	46	254933721	28.319097	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2632223	1860460	2520200	1989301	0		
107	8988068	1	46	253300829	28.181899	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2439552	1876663	2517503	2154350	0		
108	8972752	1	46	253271419	28.226727	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2358886	2162689	2189100	2262077	0		
109	8957347	1	46	253625459	28.314797	24.000000	30.000000	33.000000	9.000000	11	46	1,3,4,5,6,7,8,9,10	2284073	2028883	2145168	2499223	0		
110	8944685	1	46	250845071	28.044036	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2605299	2003378	2073133	2262875	0		
111	8930888	1	46	248321226	27.804763	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2924479	1770836	2250785	1984788	0		
112	8917491	1	46	246495623	27.641813	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2181927	1702155	2767678	2265731	0		
113	8903003	1	46	248983226	27.966207	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2275532	1938796	2307501	2381174	0		
114	8884162	1	46	247261028	27.831666	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2546641	2424542	1788050	2124929	0		
115	8870619	1	46	247118848	27.858129	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2308964	2226625	1702094	2632936	0		
116	8853608	1	46	243747398	27.530855	23.000000	29.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2324513	1525122	2400540	2603433	0		
117	8836783	1	46	244229543	27.637834	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2023562	2246981	2830572	1735668	0		
118	8817740	1	46	242934129	27.550611	23.000000	30.000000	33.000000	10.000000	8	46	1,3,4,5,6,7	2352375	2284220	2258586	1922559	0		
